ZARAGOZA AEROPUERTO,41.67 ,-1.02 
ATHENS (HELLINIKON AIRPORT),37.90 ,23.73 
ATHENS-PENDELI,38.05 ,23.87 
ATHENS-THISSION,37.97 ,23.72 
PATRAS,38.28 ,21.79 
THESSALONIKI,40.67 ,22.96 
BOLOGNA (CNR),44.52 ,11.34 
BRASIMONE,44.09 ,11.08 
CAMPO STAFFI,41.90 ,13.32 
FOGLIANO,41.38 ,12.92 
GAUDIO,40.95 ,15.58 
GENOA (SESTRI),44.42 ,8.85 
ITALA,40.88 ,15.67 
MELFI,40.98 ,15.62 
NIGRO,40.97 ,15.68 
PISA (CENTRAL),43.71 ,10.40 
ROME-DST,41.90 ,12.50 
SAN PELLEGRINO IN ALPE,44.19 ,10.48 
SUBIACO SANTA SCOLASTICA,41.92 ,13.08 
TRIESTE,45.65 ,13.75 
ARMAGH OBSERVATORY (MONTHLY),54.35 ,-6.65 
FLEAM DYKE,52.17 ,0.25 
INCHNADAMPH,58.15 ,-4.98 
KEYWORTH,52.88 ,-1.08 
WALLINGFORD,51.60 ,-1.10 
BARBADOS (SEAWELL AIRPORT),13.07 ,-59.49 
HOWARD AFB (PANAMA CANAL ZONE),8.92 ,-79.60 
PANAMA UNIVERSIDAD,8.98 ,-79.53 
BERMUDA ISLAND (ATLANTIC O.),32.37 ,-64.68 
SAN JUAN (PUERTO RICO),18.43 ,-66.00 
SANTANA,18.47 ,-70.02 
ESTRADA,10.07 ,-83.28 
SACRAMENTO (COSTA RICA),10.11 ,-84.12 
SANTA MARIA,10.77 ,-85.32 
HAVANA (CPHR),23.05 ,-82.22 
EL CIELITO,14.93 ,-88.09 
EL JARAL,14.94 ,-88.02 
ALERT (N.W.T.),82.50 ,-62.33 
ATIKOKAN (ONTARIO),48.75 ,-91.62 
BAY D'ESPOIR (NL),47.98 ,-55.82 
BONNER LAKE (ON),49.38 ,-82.12 
BRATT'S LAKE (SK),50.12 ,-104.42 
CALGARY,51.02 ,-114.02 
CAMBRIDGE BAY (N.W.T.),69.10 ,-105.12 
CHAPAIS (QC),49.82 ,-74.97 
CHURCHILL (MANITOBA),58.75 ,-94.06 
EDMONTON INDUSTRIAL (ALBERTA),53.57 ,-113.52 
ESTHER (AB),51.67 ,-110.20 
EUREKA (N.W.T.),80.00 ,-85.56 
EXPERIMENTAL LAKES AREA (ON),49.67 ,-93.72 
FORT SMITH (ALBERTA),60.02 ,-111.97 
GIMLI (MANITOBA),50.62 ,-96.98 
GOOSE BAY (NEWFOUNDLAND),53.32 ,-60.42 
HALL BEACH (N.W.T.),68.79 ,-81.25 
HARCOURT B (NB),46.29 ,-64.15 
MAYO (YUKON),63.37 ,-135.52 
MOULD BAY (N.W.T.),76.23 ,-119.28 
OLIVER,49.18 ,-119.56 
OTTAWA (ONTARIO),45.32 ,-75.67 
RESOLUTE BAY (CANADIAN ARCTIC),74.72 ,-94.98 
SASKATOON,52.14 ,-106.62 
SATURNA (BC),48.78 ,-123.13 
SIMCOE (ONTARIO),42.85 ,-80.27 
SNARE RAPIDS (NT),63.52 ,-116.00 
STE. AGATHE (QUEBEC),46.05 ,-74.28 
THE PAS (MANITOBA),53.97 ,-101.10 
TRURO (NOVA SCOTIA),45.37 ,-63.27 
VICTORIA (B.C.),48.65 ,-123.43 
